Price,Adj Close,Close,High,Low,Open,Volume,Ticker,Time Frame
Ticker,R,R,R,R,R,R,,
Date,,,,,,,,
1996-01-02 00:00:00+00:00,12.410177230834961,25.25,25.25,24.5,24.5,208100,RAL,1996-01-02 to 2001-12-13
1996-01-03 00:00:00+00:00,12.410177230834961,25.25,25.4375,25.0,25.25,205800,RAL,1996-01-02 to 2001-12-13
1996-01-04 00:00:00+00:00,12.164427757263184,24.75,25.25,24.375,25.25,234200,RAL,1996-01-02 to 2001-12-13
1996-01-05 00:00:00+00:00,12.041560173034668,24.5,24.875,24.25,24.875,237500,RAL,1996-01-02 to 2001-12-13
1996-01-08 00:00:00+00:00,12.041560173034668,24.5,24.5,24.125,24.5,72200,RAL,1996-01-02 to 2001-12-13
1996-01-09 00:00:00+00:00,12.041560173034668,24.5,24.625,24.5,24.625,111500,RAL,1996-01-02 to 2001-12-13
1996-01-10 00:00:00+00:00,11.918684959411621,24.25,24.375,24.0,24.125,228700,RAL,1996-01-02 to 2001-12-13
1996-01-11 00:00:00+00:00,11.857248306274414,24.125,24.375,24.125,24.25,152000,RAL,1996-01-02 to 2001-12-13
1996-01-12 00:00:00+00:00,11.918684959411621,24.25,24.25,23.875,24.125,156200,RAL,1996-01-02 to 2001-12-13
1996-01-15 00:00:00+00:00,11.918684959411621,24.25,24.375,23.75,24.25,30000,RAL,1996-01-02 to 2001-12-13
1996-01-16 00:00:00+00:00,11.73437786102295,23.875,24.375,23.625,24.375,61800,RAL,1996-01-02 to 2001-12-13
1996-01-17 00:00:00+00:00,11.611505508422852,23.625,24.0,23.625,23.875,110000,RAL,1996-01-02 to 2001-12-13
1996-01-18 00:00:00+00:00,11.550071716308594,23.5,23.875,23.25,23.875,86800,RAL,1996-01-02 to 2001-12-13
1996-01-19 00:00:00+00:00,11.365753173828125,23.125,23.5,23.0,23.125,180800,RAL,1996-01-02 to 2001-12-13
1996-01-22 00:00:00+00:00,11.365753173828125,23.125,23.625,23.125,23.25,172400,RAL,1996-01-02 to 2001-12-13
1996-01-23 00:00:00+00:00,11.304319381713867,23.0,23.5,23.0,23.25,262400,RAL,1996-01-02 to 2001-12-13
1996-01-24 00:00:00+00:00,11.304319381713867,23.0,23.25,22.875,23.0,80000,RAL,1996-01-02 to 2001-12-13
1996-01-25 00:00:00+00:00,11.242886543273926,22.875,23.125,22.75,23.0,102400,RAL,1996-01-02 to 2001-12-13
1996-01-26 00:00:00+00:00,11.242886543273926,22.875,23.0,22.625,22.75,81000,RAL,1996-01-02 to 2001-12-13
1996-01-29 00:00:00+00:00,11.365753173828125,23.125,23.125,22.875,22.875,88300,RAL,1996-01-02 to 2001-12-13
1996-01-30 00:00:00+00:00,11.365753173828125,23.125,23.25,23.0,23.25,164500,RAL,1996-01-02 to 2001-12-13
1996-01-31 00:00:00+00:00,11.488626480102539,23.375,23.625,23.25,23.25,476200,RAL,1996-01-02 to 2001-12-13
1996-02-01 00:00:00+00:00,11.795807838439941,24.0,24.125,23.375,23.5,178500,RAL,1996-01-02 to 2001-12-13
1996-02-02 00:00:00+00:00,11.857248306274414,24.125,24.375,24.0,24.0,155300,RAL,1996-01-02 to 2001-12-13
1996-02-05 00:00:00+00:00,12.164427757263184,24.75,24.75,24.0,24.0,171200,RAL,1996-01-02 to 2001-12-13
1996-02-06 00:00:00+00:00,12.410177230834961,25.25,25.25,24.75,25.0,651400,RAL,1996-01-02 to 2001-12-13
1996-02-07 00:00:00+00:00,12.533051490783691,25.5,25.5,25.25,25.375,489500,RAL,1996-01-02 to 2001-12-13
1996-02-08 00:00:00+00:00,12.655917167663574,25.75,25.75,25.5,25.5,185700,RAL,1996-01-02 to 2001-12-13
1996-02-09 00:00:00+00:00,13.147418975830078,26.75,26.75,25.75,25.75,341100,RAL,1996-01-02 to 2001-12-13
1996-02-12 00:00:00+00:00,13.208847999572754,26.875,27.0,26.625,26.875,299000,RAL,1996-01-02 to 2001-12-13
1996-02-13 00:00:00+00:00,13.024548530578613,26.5,26.75,26.375,26.625,324400,RAL,1996-01-02 to 2001-12-13
1996-02-14 00:00:00+00:00,13.270279884338379,27.0,27.5,26.875,26.875,531300,RAL,1996-01-02 to 2001-12-13
1996-02-15 00:00:00+00:00,13.270279884338379,27.0,27.5,27.0,27.375,245700,RAL,1996-01-02 to 2001-12-13
1996-02-16 00:00:00+00:00,13.147418975830078,26.75,26.875,26.375,26.875,138400,RAL,1996-01-02 to 2001-12-13
1996-02-20 00:00:00+00:00,12.594481468200684,25.625,26.375,25.375,26.25,782900,RAL,1996-01-02 to 2001-12-13
1996-02-21 00:00:00+00:00,12.778799057006836,26.0,26.0,25.5,25.5,441400,RAL,1996-01-02 to 2001-12-13
1996-02-22 00:00:00+00:00,12.901674270629883,26.25,26.375,25.875,26.0,479000,RAL,1996-01-02 to 2001-12-13
1996-02-23 00:00:00+00:00,13.085982322692871,26.625,27.0,26.375,26.5,269000,RAL,1996-01-02 to 2001-12-13
1996-02-26 00:00:00+00:00,13.085982322692871,26.625,26.625,26.125,26.375,289300,RAL,1996-01-02 to 2001-12-13
1996-02-27 00:00:00+00:00,12.655917167663574,25.75,26.625,25.75,26.625,911800,RAL,1996-01-02 to 2001-12-13
1996-02-28 00:00:00+00:00,12.225868225097656,24.875,25.875,24.875,25.875,401200,RAL,1996-01-02 to 2001-12-13
1996-02-29 00:00:00+00:00,12.333385467529297,25.09375,25.25,24.875,24.875,1137400,RAL,1996-01-02 to 2001-12-13
1996-03-01 00:00:00+00:00,12.594481468200684,25.625,25.75,25.25,25.375,682700,RAL,1996-01-02 to 2001-12-13
1996-03-04 00:00:00+00:00,13.331729888916016,27.125,27.25,25.75,25.75,1149400,RAL,1996-01-02 to 2001-12-13
1996-03-05 00:00:00+00:00,13.282302856445312,26.875,27.125,26.75,26.875,479600,RAL,1996-01-02 to 2001-12-13
1996-03-06 00:00:00+00:00,13.529417037963867,27.375,27.875,26.75,26.875,382500,RAL,1996-01-02 to 2001-12-13
1996-03-07 00:00:00+00:00,13.46764087677002,27.25,27.625,27.125,27.625,267600,RAL,1996-01-02 to 2001-12-13
1996-03-08 00:00:00+00:00,13.220525741577148,26.75,27.25,26.625,27.125,141200,RAL,1996-01-02 to 2001-12-13
1996-03-11 00:00:00+00:00,13.40585708618164,27.125,27.375,26.375,26.625,454600,RAL,1996-01-02 to 2001-12-13
1996-03-12 00:00:00+00:00,13.344082832336426,27.0,27.0,26.25,26.875,695600,RAL,1996-01-02 to 2001-12-13
1996-03-13 00:00:00+00:00,13.344082832336426,27.0,27.125,26.875,27.125,211900,RAL,1996-01-02 to 2001-12-13
1996-03-14 00:00:00+00:00,13.282302856445312,26.875,27.125,26.75,27.0,303100,RAL,1996-01-02 to 2001-12-13
1996-03-15 00:00:00+00:00,13.529417037963867,27.375,27.625,26.875,26.875,285100,RAL,1996-01-02 to 2001-12-13
1996-03-18 00:00:00+00:00,14.20897102355957,28.75,29.125,27.375,27.5,318000,RAL,1996-01-02 to 2001-12-13
1996-03-19 00:00:00+00:00,13.714746475219727,27.75,28.375,27.75,28.25,396500,RAL,1996-01-02 to 2001-12-13
1996-03-20 00:00:00+00:00,13.529417037963867,27.375,27.75,27.125,27.75,270100,RAL,1996-01-02 to 2001-12-13
1996-03-21 00:00:00+00:00,13.344082832336426,27.0,27.375,26.875,27.375,349000,RAL,1996-01-02 to 2001-12-13
1996-03-22 00:00:00+00:00,13.591190338134766,27.5,27.5,26.5,27.0,1195300,RAL,1996-01-02 to 2001-12-13
1996-03-25 00:00:00+00:00,13.40585708618164,27.125,27.5,26.875,27.5,213600,RAL,1996-01-02 to 2001-12-13
1996-03-26 00:00:00+00:00,13.344082832336426,27.0,27.125,26.75,27.0,320900,RAL,1996-01-02 to 2001-12-13
1996-03-27 00:00:00+00:00,13.529417037963867,27.375,27.375,27.0,27.0,729800,RAL,1996-01-02 to 2001-12-13
1996-03-28 00:00:00+00:00,13.40585708618164,27.125,27.25,27.125,27.25,105100,RAL,1996-01-02 to 2001-12-13
1996-03-29 00:00:00+00:00,13.46764087677002,27.25,27.375,27.0,27.125,193900,RAL,1996-01-02 to 2001-12-13
1996-04-01 00:00:00+00:00,13.529417037963867,27.375,27.5,26.875,27.375,169400,RAL,1996-01-02 to 2001-12-13
1996-04-02 00:00:00+00:00,13.40585708618164,27.125,27.375,27.0,27.375,193200,RAL,1996-01-02 to 2001-12-13
1996-04-03 00:00:00+00:00,13.096969604492188,26.5,27.0,26.25,27.0,375700,RAL,1996-01-02 to 2001-12-13
1996-04-04 00:00:00+00:00,13.282302856445312,26.875,26.875,26.5,26.625,168600,RAL,1996-01-02 to 2001-12-13
1996-04-08 00:00:00+00:00,13.03519058227539,26.375,26.375,25.875,26.375,170200,RAL,1996-01-02 to 2001-12-13
1996-04-09 00:00:00+00:00,13.096969604492188,26.5,26.5,26.25,26.375,127100,RAL,1996-01-02 to 2001-12-13
1996-04-10 00:00:00+00:00,13.096969604492188,26.5,26.5,26.25,26.375,335000,RAL,1996-01-02 to 2001-12-13
1996-04-11 00:00:00+00:00,12.911636352539062,26.125,26.5625,25.75,26.5,351800,RAL,1996-01-02 to 2001-12-13
1996-04-12 00:00:00+00:00,13.096969604492188,26.5,26.5,26.125,26.125,261900,RAL,1996-01-02 to 2001-12-13
1996-04-15 00:00:00+00:00,13.591190338134766,27.5,27.5,26.875,27.0,511100,RAL,1996-01-02 to 2001-12-13
1996-04-16 00:00:00+00:00,13.776531219482422,27.875,28.375,27.75,28.125,448600,RAL,1996-01-02 to 2001-12-13
1996-04-17 00:00:00+00:00,13.961856842041016,28.25,28.25,27.375,27.875,1038100,RAL,1996-01-02 to 2001-12-13
1996-04-18 00:00:00+00:00,14.147194862365723,28.625,28.875,28.125,28.375,323300,RAL,1996-01-02 to 2001-12-13
1996-04-19 00:00:00+00:00,14.085419654846191,28.5,28.875,28.375,28.625,419600,RAL,1996-01-02 to 2001-12-13
1996-04-22 00:00:00+00:00,13.838305473327637,28.0,28.5,27.75,28.5,431200,RAL,1996-01-02 to 2001-12-13
1996-04-23 00:00:00+00:00,14.20897102355957,28.75,28.875,28.0,28.0,398500,RAL,1996-01-02 to 2001-12-13
1996-04-24 00:00:00+00:00,14.579645156860352,29.5,29.5,28.625,28.625,374000,RAL,1996-01-02 to 2001-12-13
1996-04-25 00:00:00+00:00,14.20897102355957,28.75,29.25,28.5625,29.25,237500,RAL,1996-01-02 to 2001-12-13
1996-04-26 00:00:00+00:00,14.20897102355957,28.75,29.0,28.75,28.75,188700,RAL,1996-01-02 to 2001-12-13
1996-04-29 00:00:00+00:00,14.27075481414795,28.875,29.0,28.75,28.875,94400,RAL,1996-01-02 to 2001-12-13
1996-04-30 00:00:00+00:00,14.27075481414795,28.875,29.125,28.75,28.875,403100,RAL,1996-01-02 to 2001-12-13
1996-05-01 00:00:00+00:00,14.39431095123291,29.125,29.125,28.875,29.0,295200,RAL,1996-01-02 to 2001-12-13
1996-05-02 00:00:00+00:00,14.33253288269043,29.0,29.125,28.625,29.125,316400,RAL,1996-01-02 to 2001-12-13
1996-05-03 00:00:00+00:00,14.147194862365723,28.625,28.875,28.375,28.875,592600,RAL,1996-01-02 to 2001-12-13
1996-05-06 00:00:00+00:00,14.147194862365723,28.625,28.625,28.375,28.5,236600,RAL,1996-01-02 to 2001-12-13
1996-05-07 00:00:00+00:00,14.085419654846191,28.5,28.5,28.25,28.5,390800,RAL,1996-01-02 to 2001-12-13
1996-05-08 00:00:00+00:00,14.085419654846191,28.5,28.5,28.25,28.375,221700,RAL,1996-01-02 to 2001-12-13
1996-05-09 00:00:00+00:00,13.961856842041016,28.25,28.5,28.125,28.375,365900,RAL,1996-01-02 to 2001-12-13
1996-05-10 00:00:00+00:00,13.961856842041016,28.25,28.375,28.125,28.375,593900,RAL,1996-01-02 to 2001-12-13
1996-05-13 00:00:00+00:00,14.085419654846191,28.5,28.5,28.125,28.25,196400,RAL,1996-01-02 to 2001-12-13
1996-05-14 00:00:00+00:00,14.085419654846191,28.5,28.5,28.375,28.5,390700,RAL,1996-01-02 to 2001-12-13
1996-05-15 00:00:00+00:00,14.33253288269043,29.0,29.125,28.375,28.5,424100,RAL,1996-01-02 to 2001-12-13
1996-05-16 00:00:00+00:00,14.33253288269043,29.0,29.0,28.75,28.75,373400,RAL,1996-01-02 to 2001-12-13
1996-05-17 00:00:00+00:00,14.33253288269043,29.0,29.125,29.0,29.0,273200,RAL,1996-01-02 to 2001-12-13
